video,frame,content_type,compression_ratio,encode_time_ms,avg_context_state,lps_rate,bits_per_bin
C:\Users\m_kra\Downloads\Recording 3.mp4,0,generic,0.9424356809377173,6191.100597381592,37.625,0.7999308300395257,1.0610803689064559
C:\Users\m_kra\Downloads\Recording 3.mp4,0,screen_recording,1.1553918285331548,6076.163768768311,39.9609375,0.7999308300395257,0.8655072463768116
C:\Users\m_kra\Downloads\Recording 3.mp4,0,surveillance,0.8798979828425689,5996.334791183472,52.375,0.7999308300395257,1.1364953886693017
C:\Users\m_kra\Downloads\Recording 3.mp4,0,animation,0.9424356809377173,5768.653154373169,37.625,0.7999308300395257,1.0610803689064559
C:\Users\m_kra\Downloads\Recording 3.mp4,1,generic,4.938191281717632,5117.03634262085,26.0,0.058679183135704874,0.20250329380764162
C:\Users\m_kra\Downloads\Recording 3.mp4,1,screen_recording,10.083698684734955,5126.752614974976,37.296875,0.058679183135704874,0.0991699604743083
C:\Users\m_kra\Downloads\Recording 3.mp4,1,surveillance,5.3514771204963685,5280.393600463867,33.5234375,0.058679183135704874,0.1868642951251647
C:\Users\m_kra\Downloads\Recording 3.mp4,1,animation,4.938191281717632,5709.177255630493,26.0,0.058679183135704874,0.20250329380764162
C:\Users\m_kra\Downloads\Recording 3.mp4,2,generic,7.326962061975094,5371.306896209717,26.0,0.01913372859025033,0.13648221343873518
C:\Users\m_kra\Downloads\Recording 3.mp4,2,screen_recording,19.406801329583228,5587.869167327881,37.296875,0.01913372859025033,0.05152832674571805
C:\Users\m_kra\Downloads\Recording 3.mp4,2,surveillance,10.23462783171521,5520.742177963257,32.640625,0.01913372859025033,0.09770750988142292
C:\Users\m_kra\Downloads\Recording 3.mp4,2,animation,7.326962061975094,5683.756351470947,26.0,0.01913372859025033,0.13648221343873518
C:\Users\m_kra\Downloads\Recording 3.mp4,3,generic,3.457071282168071,6001.1305809021,26.010416666666668,0.07524868247694334,0.28926218708827406
C:\Users\m_kra\Downloads\Recording 3.mp4,3,screen_recording,8.431459675627638,5306.496143341064,37.296875,0.07524868247694334,0.1186034255599473
C:\Users\m_kra\Downloads\Recording 3.mp4,3,surveillance,4.0454109370003195,5342.970371246338,32.7734375,0.07524868247694334,0.24719367588932806
C:\Users\m_kra\Downloads\Recording 3.mp4,3,animation,3.457071282168071,5223.5119342803955,26.010416666666668,0.07524868247694334,0.28926218708827406
C:\Users\m_kra\Downloads\Recording 3.mp4,4,generic,5.395606739176797,5137.647390365601,26.0,0.05012022397891963,0.18533596837944663
C:\Users\m_kra\Downloads\Recording 3.mp4,4,screen_recording,11.321599045346062,5149.037599563599,37.296875,0.05012022397891963,0.08832674571805006
C:\Users\m_kra\Downloads\Recording 3.mp4,4,surveillance,6.118007415766565,5513.154983520508,33.4296875,0.05012022397891963,0.16345191040843216
C:\Users\m_kra\Downloads\Recording 3.mp4,4,animation,5.395606739176797,5164.783239364624,26.0,0.05012022397891963,0.18533596837944663
